date,mean_score,median_score,std_dev,count
2023-11-26,2.73,2.0,1.64,26
2023-11-27,2.82,3.0,1.67,38
2023-11-28,3.23,3.0,1.68,35
2023-11-29,2.44,2.0,1.56,59
2023-11-30,3.28,3.5,1.83,40
2023-12-01,3.38,2.5,2.6,24
2023-12-02,2.94,3.0,1.43,36
2023-12-03,2.9,3.0,1.95,83
2023-12-04,3.11,3.0,1.74,82
2023-12-05,3.64,3.0,2.33,53
2023-12-06,3.0,2.0,1.76,39
2023-12-07,2.13,2.0,1.46,23
2023-12-08,2.53,2.0,1.72,32
2023-12-09,2.53,2.0,1.63,55
2023-12-10,2.67,2.0,1.44,39
2023-12-11,3.28,3.0,2.05,46
2023-12-12,2.92,3.0,1.69,24
2023-12-13,2.69,2.0,1.99,84
2023-12-14,2.76,3.0,1.82,33
2023-12-15,3.27,3.0,1.52,41
